b^3^2_2_(sigma,mu)
0.008079569487469957791214703	(19,14)
0.0077335145756236300765251	(19,15)
0.00732846768662991845822514	(19,16)
0.0068635681923744047190176417	(19,17)
0.0063403472168512672089205503	(19,18)
0.0057632319107914576247360752	(19,19)
0.0051399358901972929887532377	(19,20)
0.0044816616496578981900774295	(19,21)
0.0038030517915157829751732581	(19,22)
0.0031218477154470460059516419	(19,23)
0.0024582443963387422889947049	(19,24)
0.0018339640983339699665005132	(19,25)
0.0012711057215186279481434139	(19,26)
0.0007908554255455643147984704	(19,27)
0.0004121644297975769912676354	(19,28)
0.0001505088734196492750628139	(19,29)
0.000016843212787844366203525	(19,30)
0.010102561603010920276902826	(20,1)
0.010102349357774557659977869	(20,2)
0.010100917772629418621588717	(20,3)
0.010096304035297393821202702	(20,4)
0.010085680782008624331359576	(20,5)
0.010065467077412915191834899	(20,6)
0.010031436560758245233481111	(20,7)
0.009978804406154197321983909	(20,8)
0.009902285640331548917348669	(20,9)
0.009796132812456800248951206	(20,10)
0.009654177586341612056422486	(20,11)
0.009469914335394492022270798	(20,12)
0.00923667018918244064064009	(20,13)
0.008947902204665264120944597	(20,14)
0.008597647313001186723697533	(20,15)
0.008181125703990454194281891	(20,16)
0.0076954669922124894090238019	(20,17)
0.0071404962843795260182131025	(20,18)
0.0065194903201767619569676177	(20,19)
0.0058397978818250838479907892	(20,20)
0.0051132176755362410491296053	(20,21)
0.0043560423748647020603443558	(20,22)
0.0035887081449656737149522529	(20,23)
0.0028350308401997658888622535	(20,24)
0.002121057477475096934848328	(20,25)
0.0014736080453474274295614238	(20,26)
0.0009186220115924776199648344	(20,27)
0.0004794510186057481370821109	(20,28)
0.0001752509585642035181885453	(20,29)
0.0000196216734221312631978445	(20,30)
0.010886648018839241416527144	(21,1)
0.010886461503669488361460403	(21,2)
0.010885203309694647540722828	(21,3)
0.010881146522636462945507943	(21,4)
0.010871794934373717420733146	(21,5)
0.010853960049437893317551314	(21,6)
0.01082381559627752794539901	(21,7)
0.010776909167116049930118956	(21,8)
0.010708125972241898915278262	(21,9)
0.010611620964603796471654182	(21,10)
0.010480758108263417658310691	(21,11)
0.010308113640196389947540746	(21,12)
0.010085608284665695064655335	(21,13)
0.009804827481436863934998546	(21,14)
0.009457567366797662306844811	(21,15)
0.009036609365595874734050215	(21,16)
0.0085366829103113945300808012	(21,17)
0.0079555315061122321860803957	(21,18)
0.0072949605774545540596594059	(21,19)
0.006561723944242769206957581	(21,20)
0.005768104651790688777771438	(21,21)
0.0049320669602048299223821541	(21,22)
0.0040768974567286673555310499	(21,23)
0.0032303089588223797623064844	(21,24)
0.0024230433090817987095833527	(21,25)
0.0016870696741411892956225613	(21,26)
0.0010535255064004190880387782	(21,27)
0.0005505816237859892917783641	(21,28)
0.000201427066550027045858132	(21,29)
0.000022562309027187076011566	(21,30)
0.011615056511182047553050513	(22,1)
0.011614904265653199662320265	(22,2)
0.011613877033378958012188308	(22,3)
0.011610562398315397393518702	(22,4)
0.011602906957853981249815529	(22,5)
0.011588251164339890713760677	(22,6)
0.011563318498418265039318966	(22,7)
0.011524136561991137533259752	(22,8)
0.011465888144163027858581218	(22,9)
0.011382718207468163915473965	(22,10)
0.011267551998577286887624572	(22,11)
0.011112002700885744510710202	(22,12)
0.010906457031986831851218646	(22,13)
0.010640418724582307037777414	(22,14)
0.010303161163563725204797371	(22,15)
0.009884694166984088623226802	(22,16)
0.0093769928181082956411439877	(22,17)
0.0087753783184833072336080496	(22,18)
0.0080798931344642048392551699	(22,19)
0.0072964851700536579705343132	(22,20)
0.0064378149215539870839824033	(22,21)
0.0055235274416248936833304437	(22,22)
0.0045798842861539627027969463	(22,23)
0.0036387219375191540569887137	(22,24)
0.0027357822365007134374091438	(22,25)
0.0019085360540014202988645945	(22,26)
0.0011936837969754790009454738	(22,27)
0.000624557839204988820104532	(22,28)
0.0002286682816803569925108744	(22,29)
0.0000256235902983431218272361	(22,30)
0.012282827330446716129199769	(23,1)
0.012282717080965853624312188	(23,2)
0.012281972899309668661209623	(23,3)
0.012279567989177914884936398	(23,4)
0.012273992804877652766105495	(23,5)
0.012263240375716958492453325	(23,6)
0.012244719672615586702550535	(23,7)
0.012215072577158425538965961	(23,8)
0.012169896150420988044744545	(23,9)
0.012103407132562309658573652	(23,10)
0.012008122305003509824597723	(23,11)
0.011874657191632873892923085	(23,12)
0.011691757528390074009694445	(23,13)
0.011446666461435826651178581	(23,14)
0.011125893446942528835735702	(23,15)
0.010716391751204701723278808	(23,16)
0.0102070790982813403922573226	(23,17)
0.0095905630838569982818333498	(23,18)
0.0088648735051176422453068398	(23,19)
0.0080349701088588228827129473	(23,20)
0.0071137944168482018442011043	(23,21)
0.0061226701474470558353369519	(23,22)
0.0050909238225478024352909695	(23,23)
0.0040546856325311767225915167	(23,24)
0.0030549275379576818624526815	(23,25)
0.0021348872556739586075861697	(23,26)
0.0013371012017225988867993212	(23,27)
0.0007003179383656677782202366	(23,28)
0.000256581567894890746125512	(23,29)
0.0000287612331288224462242145	(23,30)
0.012888112844907336591010448	(24,1)
0.012888051192457338609571793	(24,2)
0.012887634563574730821294076	(24,3)
0.012886282549977234625280766	(24,4)
0.012883115830846454229963671	(24,5)
0.012876885762557145898717265	(24,6)
0.012865803122969059481650663	(24,7)
0.012847239570615221024323165	(24,8)
0.012817307663295628375916307	(24,9)
0.012770368451624689584524556	(24,10)
0.012698560391418951178475335	(24,11)
0.012591478192520605372961416	(24,12)
0.012436144188209830006182844	(24,13)
0.012217399924429498084104387	(24,14)
0.011918799491201840344519496	(24,15)
0.011524013057904360377789919	(24,16)
0.0110186601657637997732747654	(24,17)
0.0103924033308993153902899274	(24,18)
0.0096410606633504340323095261	(24,19)
0.0087684564760480327229002753	(24,20)
0.0077877306056440328958888018	(24,21)
0.0067218721467830029754027899	(24,22)
0.0056033254329697235132989519	(24,23)
0.004472622986326723053596118	(24,24)
0.003376115830153096607796022	(24,25)
0.0023629796161269673463023495	(24,26)
0.0014817614422471581383627499	(24,27)
0.0007767872620520437790104186	(24,28)
0.0002847686465008211547574049	(24,29)
0.0000319303381553469214419115	(24,30)
0.01343158868196736207663897	(25,1)
0.013431580876327326069182627	(25,2)
0.01343152719350976036380715	(25,3)
0.013431341950383535940698852	(25,4)
0.013430844784820120315398045	(25,5)
0.013429629646419871560818713	(25,6)
0.013426802068862991919736787	(25,7)
0.013420556330003135036322524	(25,8)
0.013407602900641423053226615	(25,9)
0.013382508145987304061227708	(25,10)
0.013337061438495092113473114	(25,11)
0.01325982603011211992170412	(25,12)
0.013136046015557967615136512	(25,13)
0.01294806305713617906086683	(25,14)
0.012676340460269435896821952	(25,15)
0.012301104189451180496016726	(25,16)
0.0118045039658422523502357524	(25,17)
0.0111730917460594112374598687	(25,18)
0.0104003303064568855495021673	(25,19)
0.0094887990204270642787166633	(25,20)
0.0084517679252379543266306666	(25,21)
0.0073138662673096016020160436	(25,22)
0.0061106699749347863461039163	(25,23)
