e^1_(sigma,mu)
0.787522312686830373847600133	(24,23)
0.784789330293347409049765807	(24,24)
0.782303697655792364366633798	(24,25)
0.780127235952878169337364059	(24,26)
0.778314926897083981212480722	(24,27)
0.77691308441485892943827782	(24,28)
0.77595782985755088157154438	(24,29)
0.77547391362433982391061303	(24,30)
0.717332203911709843232158868	(25,1)
0.717330336891448719687209226	(25,2)
0.717317747032170285646779199	(25,3)
0.71727720904886352497771858	(25,4)
0.71718408196488305001510494	(25,5)
0.717007692297772821642589026	(25,6)
0.716713089476130251605967504	(25,7)
0.716263097490151250445825594	(25,8)
0.715620569219143646458171224	(25,9)
0.714750734925699636500980038	(25,10)
0.713623525707790208246508146	(25,11)
0.712215747962368848590207195	(25,12)
0.710512987585483908378488138	(25,13)
0.7085111335808014840386046	(25,14)
0.706217429987171276517462303	(25,15)
0.703650991585883822708539555	(25,16)
0.700842750752374749614144305	(25,17)
0.697834837341901565594600801	(25,18)
0.694679427488989608532918027	(25,19)
0.69143712752573393606058269	(25,20)
0.688174983231737912730982619	(25,21)
0.684964220515629759051914166	(25,22)
0.681877830661921614370570989	(25,23)
0.678988111828316631541572593	(25,24)
0.6763642698739602500563353	(25,25)
0.674070167833214502643260533	(25,26)
0.672162296722926200750431648	(25,27)
0.670688023124393338619658607	(25,28)
0.669684152985050879680330548	(25,29)
0.66917583762648765646680844	(25,30)
0.627171206622605028929527072	(26,1)
0.627169228102984399344295028	(26,2)
0.627155886427960322805895843	(26,3)
0.627112928351274695546888396	(26,4)
0.627014245519184220735435218	(26,5)
0.626827347677693198232133024	(26,6)
0.626515237563397632189645345	(26,7)
0.626038608454608832585313664	(26,8)
0.625358264632751914212604207	(26,9)
0.624437646344654451987965862	(26,10)
0.623245326623122628880979018	(26,11)
0.621757340073639392233631807	(26,12)
0.619959205729958283143523289	(26,13)
0.617847518754706600464686217	(26,14)
0.615431009272772081635374664	(26,15)
0.612730999616093981355451433	(26,16)
0.609781230892499544829616136	(26,17)
0.606627072106805913898037011	(26,18)
0.603324165576739375892450105	(26,19)
0.599936596828158311187507439	(26,20)
0.59653470216388338921336163	(26,21)
0.593192640743132799506276127	(26,22)
0.589985859997762853203160301	(26,23)
0.586988574817117776653955273	(26,24)
0.584271364622402089262880188	(26,25)
0.58189897136680617449420121	(26,26)
0.579928358897096516243733273	(26,27)
0.578407072879426558695324902	(26,28)
0.577371922787707341204746936	(26,29)
0.57684799453567641222122333	(26,30)
0.549130434414619408784727189	(27,1)
0.549128367789945343055052221	(27,2)
0.549114432057880525002409847	(27,3)
0.549069561902400078681426853	(27,4)
0.548966490654659505867442243	(27,5)
0.548771296724707213925236344	(27,6)
0.54844537701898115000229905	(27,7)
0.547947766335708855113663424	(27,8)
0.547237697880559475528600033	(27,9)
0.546277277636639663229616319	(27,10)
0.545034127462082963260518026	(27,11)
0.543483841938516713649477359	(27,12)
0.541612105282410575801308175	(27,13)
0.539416329093097774304229104	(27,14)
0.536906699641415643098856537	(27,15)
0.534106563006399089832260828	(27,16)
0.531052123833799074945739508	(27,17)
0.527791483524906242270127138	(27,18)
0.52438309038212521259519188	(27,19)
0.52089371221660557912609206	(27,20)
0.517396067164395021910852936	(27,21)
0.513966259028604977801845867	(27,22)
0.510681159690837718266424791	(27,23)
0.507615865332005776790685115	(27,24)
0.504841329066418120405602141	(27,25)
0.502422244420230362250657851	(27,26)
0.500415226017362879955445703	(27,27)
0.498867309269552189149560959	(27,28)
0.49781477210519741428301077	(27,29)
0.49728226991442922253012488	(27,30)
0.481982822755546842141733833	(28,1)
0.48198068662468777211107154	(28,2)
0.481966282256901089699208034	(28,3)
0.481919903910080963209545789	(28,4)
0.481813372345418515928773554	(28,5)
0.481611641192035659196079433	(28,6)
0.48127485235770012088565779	(28,7)
