mdd23_(sigma,mu)
-0.0117578635616836249316433698	(22,12)
-0.0130451247222906467499779389	(22,13)
-0.0141287066359584119227424221	(22,14)
-0.0149475565834849484229076027	(22,15)
-0.0154497641196612319713120913	(22,16)
-0.0155968527441628811165587977	(22,17)
-0.015367485252346975809462266	(22,18)
-0.014760205550723237958063886	(22,19)
-0.013794913399963166867245964	(22,20)
-0.012512874921573684393206116	(22,21)
-0.010975198417568483989404414	(22,22)
-0.009259837902588806144382937	(22,23)
-0.007457311788923166630571873	(22,24)
-0.005665429539026562561960708	(22,25)
-0.003983396290911777306548545	(22,26)
-0.002505709827725006701109298	(22,27)
-0.001316274885598060964521618	(22,28)
-0.00048313881106139048346986	(22,29)
-0.000054204245982577977352726	(22,30)
-0.00002890385316477446908465041	(23,1)
-0.0002596494441128053862860799	(23,2)
-0.000718426070468299387690316	(23,3)
-0.0013992180221525834773309031	(23,4)
-0.0022916301387483145127558578	(23,5)
-0.0033794974514794143146158461	(23,6)
-0.0046394274588923343118105566	(23,7)
-0.0060395570305021638385780506	(23,8)
-0.0075388096231483416149977281	(23,9)
-0.0090869058580913155059258494	(23,10)
-0.0106253127220564573930827312	(23,11)
-0.0120892192546233413711939663	(23,12)
-0.0134105093649954398929063906	(23,13)
-0.0145215786555306878343224802	(23,14)
-0.0153597270487822179773078903	(23,15)
-0.0158717677294148828532256625	(23,16)
-0.0160184381059483586383214954	(23,17)
-0.0157781883482751297933058332	(23,18)
-0.0151499598386189021544049023	(23,19)
-0.0141546455593214349903897154	(23,20)
-0.012835037415441103780178958	(23,21)
-0.011254198210585087359872429	(23,22)
-0.009492333225252605915121767	(23,23)
-0.007642363486131895845961324	(23,24)
-0.00580450784562424156313573	(23,25)
-0.004080255732575148184965385	(23,26)
-0.00256615296296118783523619	(23,27)
-0.001347829306483996962819716	(23,28)
-0.000494671629257817123829401	(23,29)
-0.000055495337277097164301363	(23,30)
-0.00002954198858360889714389095	(24,1)
-0.00026538189939977393142902627	(24,2)
-0.0007342863026477652958766818	(24,3)
-0.001430101748352710711480907	(24,4)
-0.0023421890534163752389983451	(24,5)
-0.0034539952062946852561734388	(24,6)
-0.0047415566578812968375330369	(24,7)
-0.0061722244013102655759263304	(24,8)
-0.0077039052398098657474655585	(24,9)
-0.0092850800146089974841829051	(24,10)
-0.0108557893596932156696621881	(24,11)
-0.0123496764121978745114247643	(24,12)
-0.0136970540548131522960594985	(24,13)
-0.0148288356849147191391097846	(24,14)
-0.0156810493210693469752420785	(24,15)
-0.0161995610704852416215600794	(24,16)
-0.0163445789334745721947260626	(24,17)
-0.0160945000260954738407478944	(24,18)
-0.0154487055433206472102903829	(24,19)
-0.0144289933547387757512127402	(24,20)
-0.0130794573016960220953490503	(24,21)
-0.0114647603295948574770485823	(24,22)
-0.009666889332582576066527563	(24,23)
-0.00778060785185710986482601	(24,24)
-0.005907926501291754614079804	(24,25)
-0.004151982472593903664883586	(24,26)
-0.002610755586428096277209636	(24,27)
-0.001371050067882190991349003	(24,28)
-0.00050314248344650795244917	(24,29)
-0.000056442726230672364807254	(24,30)
-0.00003001950779200079042820917	(25,1)
-0.00026967150245193208967880674	(25,2)
-0.00074615424449760491945202299	(25,3)
-0.0014532097052730878856911733	(25,4)
-0.002380011655894021697024618	(25,5)
-0.003509707181264506703950733	(25,6)
-0.0048178887269513759928082763	(25,7)
-0.0062712940483991616905194818	(25,8)
-0.007827035726239373047572763	(25,9)
-0.0094326274558639302921901663	(25,10)
-0.0110270020089732547288793778	(25,11)
-0.0125426113279923833449576092	(25,12)
-0.01390857325271208039974442	(25,13)
