d^1_(sigma,mu)
-150.76611010876617149890272	(15,5)
-150.77491639831481792761537	(15,6)
-150.78961731694835969634137	(15,7)
-150.81205490902957778328537	(15,8)
-150.84405633408813224799319	(15,9)
-150.88731038470879174594906	(15,10)
-150.94324536636343162409826	(15,11)
-151.01291589417908900150555	(15,12)
-151.09690620693109128965963	(15,13)
-151.19525695301567947630964	(15,14)
-151.30742103270015262264014	(15,15)
-151.43225205947155548301929	(15,16)
-151.56802651269941291664329	(15,17)
-151.71249796332239886204337	(15,18)
-151.86297918183421229387913	(15,19)
-152.01644580034667100094987	(15,20)
-152.16965376194225642404559	(15,21)
-152.31926221828738164171924	(15,22)
-152.4619538740345768838653	(15,23)
-152.5945459374949690697054	(15,24)
-152.71408662111978021228676	(15,25)
-152.81793426252758900455939	(15,26)
-152.90381829307333679913414	(15,27)
-152.96988316657964543085911	(15,28)
-153.0147177339099989331951	(15,29)
-153.0373732573991116697039	(15,30)
-136.2227213066342830854957	(16,1)
-136.22278463722676160400867	(16,2)
-136.22321168215486730800169	(16,3)
-136.22458658294396300009977	(16,4)
-136.22774431898015807783495	(16,5)
-136.23372226811846562767973	(16,6)
-136.24369765485584023162034	(16,7)
-136.25891313926043253745648	(16,8)
-136.28059381295373278041983	(16,9)
-136.30985993174914971754942	(16,10)
-136.34764065683699042295921	(16,11)
-136.39459470137016874419726	(16,12)
-136.45104390409963290163126	(16,13)
-136.51692524751869788558743	(16,14)
-136.59176566427079078322361	(16,15)
-136.67468220009148341808595	(16,16)
-136.76440790039288864885278	(16,17)
-136.85934142372756637411153	(16,18)
-136.95761616851947227093796	(16,19)
-137.05718293465234304926977	(16,20)
-137.15589907636762367783384	(16,21)
-137.2516168842060699341527	(16,22)
-137.34226458184181884709102	(16,23)
-137.4259147297654672707119	(16,24)
-137.50083677332595742365935	(16,25)
-137.56553266670676744064848	(16,26)
-137.61875663098987391971523	(16,27)
-137.65952187089391168017677	(16,28)
-137.68709825321351705013844	(16,29)
-137.7010054062224309783906	(16,30)
-122.89715432967694336556055	(17,1)
-122.89718716626291737941716	(17,2)
-122.89740857979796230537054	(17,3)
-122.8981213524933018645882	(17,4)
-122.8997578952692721124089	(17,5)
-122.9028542091484617213575	(17,6)
-122.90801562802174563221076	(17,7)
-122.91587531562911324879266	(17,8)
-122.92704727019676215548831	(17,9)
-122.94207648136529599105438	(17,10)
-122.96138972598709660955362	(17,11)
-122.98525109453853533014361	(17,12)
-123.01372653058253867635949	(17,13)
-123.04666131396961312804888	(17,14)
-123.08367348001711807930887	(17,15)
-123.1241647010996006945925	(17,16)
-123.16734832696619807234443	(17,17)
-123.21229233097717333944544	(17,18)
-123.25797312899022908114538	(17,19)
-123.3033349051254713875576	(17,20)
-123.34734841382439321854521	(17,21)
-123.38906334972088175216899	(17,22)
-123.42764928233771781003551	(17,23)
-123.46242171578737009398127	(17,24)
-123.49285182894690832438469	(17,25)
-123.51856059233578285524763	(17,26)
-123.53929994307817395904515	(17,27)
-123.55492525910312410080259	(17,28)
-123.56536430682951748021788	(17,29)
-123.5705880340588804816951	(17,30)
-110.475181848869382829947	(18,1)
-110.47518525468385797964914	(18,2)
-110.47520820734738780092186	(18,3)
-110.47528194994849283044852	(18,4)
-110.47545041808079480245287	(18,5)
-110.4757659214680369401572	(18,6)
-110.47628239348399383163969	(18,7)
-110.47704596718601133775152	(18,8)
-110.47808316512606892528952	(18,9)
-110.47938767857484510244542	(18,10)
-110.48090741862440873869654	(18,11)
-110.48253407698495962838562	(18,12)
-110.48409767423385733067443	(18,13)
-110.48536837724664413366928	(18,14)
-110.48606719035791026785016	(18,15)
-110.48588601551391472324954	(18,16)
-110.48451617859572509185649	(18,17)
-110.4816830492866932098291	(18,18)
-110.47718309331500377105944	(18,19)
-110.47091882984178035046109	(18,20)
-110.46292690541513082921296	(18,21)
-110.45339492607126954309803	(18,22)
-110.44266378437219264217157	(18,23)
-110.4312138427637893362658	(18,24)
-110.41963526792651542094992	(18,25)
-110.4085847852245846985732	(18,26)
-110.39873286722760730286966	(18,27)
-110.39070665234808019621554	(18,28)
-110.38503454410100793849542	(18,29)
-110.3820983896510756070448	(18,30)
-98.8127514530470242979452	(19,1)
-98.81272776725858312471856	(19,2)
-98.81256803355267178488334	(19,3)
-98.81205354782895870114254	(19,4)
-98.81087070257113747290979	(19,5)
-98.80862676157758028298643	(19,6)
-98.80486862611159698513019	(19,7)
-98.79910325448134704846839	(19,8)
-98.79081866645521192013099	(19,9)
-98.77950492920356271658202	(19,10)
-98.76467506602857188461585	(19,11)
-98.74588630835454892043882	(19,12)
-98.72276238285988444277587	(19,13)
-98.69501748201958676203432	(19,14)
-98.66248216425949294926988	(19,15)
-98.62513070661205830173049	(19,16)
-98.58310850597403433843638	(19,17)
-98.53675717450861336640395	(19,18)
-98.48663420797866574394291	(19,19)
-98.43352371589884412616505	(19,20)
-98.37843482684828792256971	(19,21)
-98.32258507280089099892231	(19,22)
-98.26736726619941806249056	(19,23)
-98.21429997488777401797026	(19,24)
-98.16496346861948063335462	(19,25)
-98.12092472157030739186238	(19,26)
-98.08365648066228208172841	(19,27)
-98.05445636338894938258225	(19,28)
-98.0343723096495924129016	(19,29)
-98.02414043374530979871556	(19,30)
-87.886566893174610233893923	(20,1)
-87.886519249323853865462238	(20,2)
-87.886197960368759931842011	(20,3)
-87.885163295076795844531633	(20,4)
-87.882785514536797824595395	(20,5)
-87.878278516126445471288074	(20,6)
-87.870741362951217300434938	(20,7)
-87.859205412184906818679076	(20,8)
-87.842684768132208434229832	(20,9)
-87.820228016904187540975017	(20,10)
-87.790969562280775813598381	(20,11)
-87.754179263681881729408606	(20,12)
-87.709309362763707350994477	(20,13)
-87.656037786250694116906567	(20,14)
-87.594306789854595699152849	(20,15)
-87.52435558562292709790655	(20,16)
-87.446745160132544922420719	(20,17)
-87.362373078335217155410776	(20,18)
-87.272475831046835499647237	(20,19)
-87.178616360231648493902555	(20,20)
-87.082654873332510428874784	(20,21)
-86.986701952007597903581644	(20,22)
-86.893054208913694228086081	(20,23)
-86.804114216754894871825201	(20,24)
-86.722297949455269808274526	(20,25)
-86.649934344601738298953103	(20,26)
-86.589162644982536736839027	(20,27)
-86.54183377308689475590178	(20,28)
-86.50942206096523407058479	(20,29)
-86.49295318518468311136492	(20,30)
-77.740612984225696225308111	(21,1)
-77.740544838012821199958421	(21,2)
-77.740085297254018978451748	(21,3)
-77.738605494732425646519002	(21,4)
-77.735205217045821958669032	(21,5)
-77.728761943430877889588314	(21,6)
-77.717992058785254678108387	(21,7)
-77.701521164197531666127809	(21,8)
-77.677960172023069934786707	(21,9)
-77.645983864958690846097942	(21,10)
