muu13_(sigma,mu)
-7.254150745829294634674274	(15,9)
-7.2457943250623207306198413	(15,10)
-7.2349553812767630153063596	(15,11)
-7.2214027645586307271958306	(15,12)
-7.2049868477548167689231627	(15,13)
-7.1856544049517455593296825	(15,14)
-7.1634594343562062782029941	(15,15)
-7.1385693280875878967293034	(15,16)
-7.1112660190113997162486639	(15,17)
-7.0819419837784611405182889	(15,18)
-7.0510912359290197300381778	(15,19)
-7.0192956870128701001043891	(15,20)
-6.98720747199982919552441	(15,21)
-6.9555280152176741432573409	(15,22)
-6.9249847457675612468454511	(15,23)
-6.8963064522709657913223586	(15,24)
-6.8701982957236057967753888	(15,25)
-6.847317479888065727414881	(15,26)
-6.82825051772172600617884	(15,27)
-6.813492938236376473968869	(15,28)
-6.803432159827970072704812	(15,29)
-6.79833412174734550337245	(15,30)
-6.9813580408204487993047054	(16,1)
-6.9813387383393120020145474	(16,2)
-6.9812085753763398948542907	(16,3)
-6.9807894560634726176443299	(16,4)
-6.9798265716835411579373715	(16,5)
-6.9780026051787867441700311	(16,6)
-6.9749556905222910021625882	(16,7)
-6.9703003210333633959008101	(16,8)
-6.9636502457503436703990732	(16,9)
-6.9546422737408750525329059	(16,10)
-6.9429598323635844223833656	(16,11)
-6.9283551056609480348608563	(16,12)
-6.9106686195591493893942606	(16,13)
-6.889845243949214644341663	(16,14)
-6.8659457458183299175657539	(16,15)
-6.8391532449002461365312927	(16,16)
-6.8097741812446885215441299	(16,17)
-6.7782336859577575650577699	(16,18)
-6.745065532891954642751538	(16,19)
-6.7108971205110213234440682	(16,20)
-6.6764301714076247939090341	(16,21)
-6.6424180274721063280783362	(16,22)
-6.6096405519523838925419742	(16,23)
-6.5788777217542007237554729	(16,24)
-6.5508830060446846230698693	(16,25)
-6.5263575870340888897892496	(16,26)
-6.5059263955755845383132184	(16,27)
-6.490116819459761337170175	(16,28)
-6.479340807453394300042344	(16,29)
-6.47388094717427928835354	(16,30)
-6.6407590057593465909642929	(17,1)
-6.6407386070264937172811074	(17,2)
-6.6406010518259504706589476	(17,3)
-6.640158131560638351541143	(17,4)
-6.6391405769737698427359223	(17,5)
-6.637213088651289960091372	(17,6)
-6.6339933544667728361053697	(17,7)
-6.6290742063799085838339354	(17,8)
-6.6220478999240520437555318	(17,9)
-6.6125313666462529400752425	(17,10)
-6.6001912043452288005484446	(17,11)
-6.5847671431147908334119597	(17,12)
-6.5660927653074508370689493	(17,13)
-6.544112368570263445453656	(17,14)
-6.5188930412380143488412767	(17,15)
-6.490631260215685279965717	(17,16)
-6.4596536083196024756443053	(17,17)
-6.4264115210111416891144739	(17,18)
-6.3914702886077111963129516	(17,19)
-6.3554928359960937346737217	(17,20)
-6.3192190565035632288002924	(17,21)
-6.2834416735299169433044345	(17,22)
-6.2489797328725433486384554	(17,23)
-6.2166508876197341790893158	(17,24)
-6.1872436301295077460855437	(17,25)
-6.1614905616372202129691072	(17,26)
-6.1400436828090990708302938	(17,27)
-6.123452552886857989565793	(17,28)
-6.112146015018630948945902	(17,29)
-6.106418032471733685866213	(17,30)
-6.2404643508926761129505898	(18,1)
-6.2404432434011337792235853	(18,2)
-6.240300908975796351390224	(18,3)
-6.23984260178890009576846	(18,4)
-6.2387897087624501298948499	(18,5)
-6.2367953235474938204558502	(18,6)
-6.2334639667152340676121107	(18,7)
-6.2283745796217807459189281	(18,8)
-6.2211057385878892620035529	(18,9)
-6.211261890524521083567933	(18,10)
-6.1984993146226731702051837	(18,11)
-6.1825504804864308179237143	(18,12)
-6.1632455116808178560978904	(18,13)
-6.1405295806191640850340377	(18,14)
-6.1144752546662833781308416	(18,15)
-6.0852890750591814012845338	(18,16)
-6.0533119628715848215989141	(18,17)
-6.0190133867249179857580754	(18,18)
-5.9829795686270260022235978	(18,19)
-5.9458963202099247942115343	(18,20)
-5.9085273678003044865907344	(18,21)
-5.8716892232404763604745275	(18,22)
-5.8362237781981995424761927	(18,23)
-5.8029698415596174458550916	(18,24)
-5.7727348091714257336433081	(18,25)
-5.7462675658197787090281161	(18,26)
-5.7242335878996706572153551	(18,27)
-5.7071930598098006833510783	(18,28)
-5.6955826542254994414440021	(18,29)
-5.689701468945914835773219	(18,30)
-5.7813079563450399923360881	(19,1)
-5.7812865830378782720393558	(19,2)
-5.7811424563090420898926282	(19,3)
-5.7806783800910125011406694	(19,4)
-5.7796122455010886059363436	(19,5)
-5.7775928237565410242909293	(19,6)
-5.7742197797818162397544901	(19,7)
-5.7690670277914124875383849	(19,8)
-5.7617083607047346623017226	(19,9)
-5.7517441294823722421462396	(19,10)
-5.7388276419960174970073299	(19,11)
-5.7226899094366840283625403	(19,12)
-5.7031614042876889227408975	(19,13)
-5.6801896146575375021551031	(19,14)
-5.6538513844649615743839375	(19,15)
-5.6243593076150521530959625	(19,16)
-5.5920617779825420672545855	(19,17)
-5.5574366596346900040134809	(19,18)
-5.5210789031174948278253682	(19,19)
-5.483682763475231273735932	(19,20)
-5.4460195475351206435658219	(19,21)
-5.4089120127270589468755987	(19,22)
-5.3732066476840022604629128	(19,23)
-5.339745086582444763035282	(19,24)
-5.3093358543291773735233238	(19,25)
-5.282727524917124777138744	(19,26)
-5.2605842210685141375776899	(19,27)
-5.243464210727814554119658	(19,28)
-5.2318021836815838276732703	(19,29)
-5.225895633451576460901595	(19,30)
-5.2716525195336556477440687	(20,1)
-5.2716313489430995982309688	(20,2)
-5.2714885893768560936723767	(20,3)
-5.27102891747181361645781	(20,4)
-5.2699729135223391918775137	(20,5)
-5.2679727284854712120746367	(20,6)
-5.2646319549501856712702108	(20,7)
-5.2595288366988626247379707	(20,8)
-5.2522417572004294135612746	(20,9)
-5.2423757842276419046628924	(20,10)
-5.2295889331361118691118136	(20,11)
-5.2136167628783520400097948	(20,12)
-5.1942939513830993151780335	(20,13)
-5.1715716191615911689803089	(20,14)
