H1_(sigma,mu)
1.4039638974279345097995023447	(21,20)
1.4022569601704854932950864325	(21,21)
1.4005731797117497755804621245	(21,22)
1.3989511133016092047070436632	(21,23)
1.3974292710900503258541439869	(21,24)
1.3960448072724645816548308307	(21,25)
1.3948322579384260659153912557	(21,26)
1.3938223722735024961675587436	(21,27)
1.3930410776635727040466795094	(21,28)
1.3925086123949542035601871467	(21,29)
1.3922388525320823793112724559	(21,30)
1.6879006838370433373650447219	(22,1)
1.6878993653196721731924009659	(22,2)
1.6878904741396431327827301399	(22,3)
1.6878618450903169759850179686	(22,4)
1.687796073772971472662478904	(22,5)
1.6876714888647169009790802659	(22,6)
1.6874633828101787948033017279	(22,7)
1.6871454463021754794532971876	(22,8)
1.6866913407777585640702835194	(22,9)
1.6860763342752558024721529749	(22,10)
1.685278920188757610743826885	(22,11)
1.6842823364990760958510349588	(22,12)
1.6830759055670995467330647755	(22,13)
1.6816561218557632333922091527	(22,14)
1.6800274268973139380912912965	(22,15)
1.678202626871462843559139282	(22,16)
1.6762029272819352238557953216	(22,17)
1.6740575800249051375360515663	(22,18)
1.671803159035602965283697235	(22,19)
1.6694825000684678857259959722	(22,20)
1.6671433565885421548297761163	(22,21)
1.6648368361626558018702559466	(22,22)
1.6626156895435787966475726098	(22,23)
1.660532527749755192359422616	(22,24)
1.6586380412331906812928613199	(22,25)
1.6569792904342268923041092389	(22,26)
1.655598129595144633751778877	(22,27)
1.6545298166535306104576444936	(22,28)
1.6538018522840058244809091155	(22,29)
1.6534330814299160748435609047	(22,30)
1.9850476286654809475769120972	(23,1)
1.9850458394217213167449813706	(23,2)
1.9850337739962668310040879384	(23,3)
1.9849949242107419211553301022	(23,4)
1.9849056729479320054646755663	(23,5)
1.9847366150506911830788680034	(23,6)
1.9844542303883175442648393393	(23,7)
1.9840228352697891561646259093	(23,8)
1.9834067228445924065442806205	(23,9)
1.9825723905176917628773798635	(23,10)
1.9814907439379072735771337459	(23,11)
1.9801391640010541490981220754	(23,12)
1.9785033265107825530690755357	(23,13)
1.9765786741823007745978111129	(23,14)
1.9743714574534775890596859066	(23,15)
1.9718992832634500578299861367	(23,16)
1.9691911380535895759135688386	(23,17)
1.9662868806675763315326546959	(23,18)
1.9632362301948055745139655942	(23,19)
1.9600973007301324160355974493	(23,20)
1.9569347574390462494023171552	(23,21)
1.9538176847180358766819863039	(23,22)
1.9508172668567524539793645905	(23,23)
1.9480043844481390121452205447	(23,24)
1.9454472265562146004556764264	(23,25)
1.9432090105581036992104662809	(23,26)
1.9413458901318326017448157551	(23,27)
1.9399051186095390359608321858	(23,28)
1.9389235212262821586152924716	(23,29)
1.9384263167012854326109983915	(23,30)
2.3084647660805445966506987643	(24,1)
2.3084623656525227220137572912	(24,2)
2.3084461788396773325682300414	(24,3)
2.3083940586970885447163428999	(24,4)
2.3082743220827277073282379493	(24,5)
2.3080475240594369518113460459	(24,6)
2.3076687070044117661857546616	(24,7)
2.3070900258703739154090954431	(24,8)
2.3062636295531515294706296526	(24,9)
2.3051446605421523474757729766	(24,10)
2.3036942227843340548218342293	(24,11)
2.3018821628118243823122944078	(24,12)
2.299689513182512154293508884	(24,13)
2.297110461015870029531380671	(24,14)
2.2941537277875492028996172044	(24,15)
2.2908432784017858683421051053	(24,16)
2.2872183156572506066691383931	(24,17)
2.2833325574890137891622595292	(24,18)
2.2792528352825917743248793211	(24,19)
2.2750570886165188946997703186	(24,20)
2.2708318620059797307825791781	(24,21)
2.2666694305010809590236835207	(24,22)
2.2626646923825727048842457042	(24,23)
2.2589119689103229045323924668	(24,24)
2.2555018443534348284235793798	(24,25)
2.2525181663343951069827538735	(24,26)
2.2500353091848509375999012638	(24,27)
2.2481157838590516326678990194	(24,28)
2.2468082589754373657483169294	(24,29)
2.2461460401975449829335872774	(24,30)
2.6578414216795164756725704376	(25,1)
2.6578382346408819341616484721	(25,2)
2.6578167435006046288921369307	(25,3)
2.6577475441891572903012970708	(25,4)
2.6575885730515350142577557861	(25,5)
2.6572874661196200855870168165	(25,6)
2.6567845519735418849420853033	(25,7)
2.6560163480484357426940373836	(25,8)
2.6549194007547892769201589881	(25,9)
2.6534342849044971385807760484	(25,10)
2.6515095603595981302103267812	(25,11)
2.6491054763098920509361774515	(25,12)
2.6461972184685811040939277117	(25,13)
2.6427775131169360391400184952	(25,14)
